Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C100,22u,C0805,189.19,-105.3,90.0,bottom
C101,100n,C_0402_1005Metric,183.76,-109.77,270.0,bottom
C102,100n,C_0402_1005Metric,184.79,-109.8,270.0,bottom
C103,22u,C0805,185.65,-104.47,180.0,bottom
C104,22u,C0805,150.19,-113.73,90.0,top
C105,100n,C_0402_1005Metric,149.61,-117.33,0.0,top
C106,22p,C_0402_1005Metric,146.39,-119.6,0.0,top
C107,22u,C0805,145.98,-110.31,0.0,top
C108,22u,C0805,145.96,-112.47,0.0,top
C109,22u,C0805,168.37,-113.42,90.0,top
C110,100n,C_0402_1005Metric,167.12,-117.34,0.0,top
C111,22p,C_0402_1005Metric,164.34,-119.53,0.0,top
C112,22u,C0805,164.1,-112.43,0.0,top
C113,22u,C0805,164.1,-110.28,0.0,top
C114,22u,C0805,133.95,-113.59,90.0,top
C115,100n,C_0402_1005Metric,132.93,-117.32,0.0,top
C116,22p,C_0402_1005Metric,129.95,-119.47,0.0,top
C117,22u,C0805,129.8,-110.28,0.0,top
C118,22u,C0805,129.77,-112.36,0.0,top
C119,22u,C0805,187.35,-113.63,90.0,top
C120,4u7,C_0402_1005Metric,185.8,-117.38,0.0,top
C121,22p,C_0402_1005Metric,182.77,-119.51,0.0,top
C122,22u,C0805,182.27,-112.24,0.0,top
C123,22u,C0805,182.27,-110.16,0.0,top
C124,22u,C0805,125.15,-67.37,90.0,top
C125,4u7,C_0402_1005Metric,129.68,-64.8,0.0,top
C126,4u7,C_0402_1005Metric,127.4,-67.27,90.0,top
C127,22u,C0805,130.84,-71.38,0.0,top
C128,4u7,C_0402_1005Metric,127.4,-69.54,-90.0,top
C129,4u7,C_0402_1005Metric,132.67,-65.68,180.0,top
C130,"1nf,250v",C_1206_3216Metric,202.305,-79.15,0.0,bottom
C200,100u,C_1206_3216Metric,138.935,-111.93,0.0,bottom
C201,4u7,C_0402_1005Metric,153.26,-91.77,180.0,bottom
C202,470n,C0201,151.75,-91.46,270.0,bottom
C203,470n,C0201,152.880919,-90.350919,45.0,bottom
C204,100u,C_1206_3216Metric,138.845,-106.49,0.0,bottom
C205,4u7,C_0402_1005Metric,153.49,-97.08,270.0,bottom
C206,470n,C0201,153.41,-93.08,90.0,bottom
C207,470n,C0201,152.2,-97.05,270.0,bottom
C208,470n,C0201,153.43,-94.69,90.0,bottom
C209,100u,C_1206_3216Metric,137.81,-67.395,90.0,top
C210,4u7,C_0402_1005Metric,146.86,-86.36,0.0,bottom
C211,470n,C0201,147.4,-101.36,315.0,bottom
C212,100u,C_1206_3216Metric,169.425,-111.0,180.0,bottom
C213,4u7,C_0402_1005Metric,154.85,-86.37,0.0,bottom
C214,470n,C0201,149.26,-94.11,0.0,bottom
C215,470n,C0201,148.8,-89.53,45.0,bottom
C216,4u7,C_0402_1005Metric,146.14,-83.61,90.0,bottom
C217,470n,C0201,150.08,-90.56,180.0,bottom
C218,470n,C0201,150.08,-92.11,180.0,bottom
C219,470n,C0201,151.23,-95.9,180.0,bottom
C220,4u7,C_0402_1005Metric,151.97,-93.91,90.0,bottom
C221,100u,C_1206_3216Metric,193.135,-114.97,0.0,bottom
C222,470n,C0201,150.0,-97.43,0.0,bottom
